date,portfolio_value,cash_value,position_value,holding_000001.SZ,holding_000002.SZ,holding_000004.SZ,price_000001.SZ,price_000002.SZ,price_000004.SZ,pv_000001.SZ,pv_000002.SZ,pv_000004.SZ
2014/3/5,10177,9107,1070,100,0,0,10.7,6.76,13.92,1070,0,0
2014/3/6,10184,9107,1077,100,0,0,10.77,7.32,13.97,1077,0,0
2014/3/7,10187,7653,2534,100,200,0,10.8,7.27,14.01,1080,1454,0
2014/3/10,10114,7653,2461,100,200,0,10.31,7.15,12.96,1031,1430,0
2014/3/11,10177,7653,2524,100,200,0,10.24,7.5,12.68,1024,1500,0
2014/3/12,10208,7653,2555,100,200,0,10.35,7.6,12.8,1035,1520,0
2014/3/13,10251,7653,2598,100,200,0,10.56,7.71,12.98,1056,1542,0
2014/3/14,10191,7653,2538,100,200,0,10.32,7.53,12.66,1032,1506,0
2014/3/17,10252,8700,1552,0,200,0,10.47,7.76,13.08,0,1552,0
2014/3/18,10220,8700,1520,0,200,0,10.38,7.6,12.98,0,1520,0
2014/3/19,10200,8700,1500,0,200,0,10.24,7.5,12.85,0,1500,0
2014/3/20,10202,8700,1502,0,200,0,10.1,7.51,12.63,0,1502,0
2014/3/21,10302,3560,6742,0,200,400,10.79,8.01,12.85,0,1602,5140
2014/3/24,10356,3560,6796,0,200,400,10.79,8.06,12.96,0,1612,5184
2014/3/25,10324,3560,6764,0,200,400,10.6,7.98,12.92,0,1596,5168
2014/3/26,10338,3560,6778,0,200,400,10.7,7.85,13.02,0,1570,5208
2014/3/27,10492,3560,6932,0,200,400,10.77,7.98,13.34,0,1596,5336
2014/3/28,10388,3560,6828,0,200,400,10.78,8.12,13.01,0,1624,5204
2014/3/31,10286,3560,6726,0,200,400,10.77,8.09,12.77,0,1618,5108
2014/4/1,10308,3560,6748,0,200,400,10.8,8.08,12.83,0,1616,5132
2014/4/2,10318,5218,5100,0,0,400,10.91,8.29,12.75,0,0,5100
2014/4/3,10318,5218,5100,0,0,400,10.77,8.1,12.75,0,0,5100
2014/4/4,10358,5218,5140,0,0,400,10.79,8.11,12.85,0,0,5140
2014/4/8,10426,5218,5208,0,0,400,11.28,8.15,13.02,0,0,5208
2014/4/9,10542,5218,5324,0,0,400,11.19,8.05,13.31,0,0,5324
2014/4/10,10526,5218,5308,0,0,400,11.36,8.05,13.27,0,0,5308
2014/4/11,10610,5218,5392,0,0,400,11.4,7.95,13.48,0,0,5392
2014/4/14,10638,5218,5420,0,0,400,11.28,7.93,13.55,0,0,5420
2014/4/15,10446,5218,5228,0,0,400,10.97,7.76,13.07,0,0,5228
2014/4/16,10498,5218,5280,0,0,400,10.99,7.87,13.2,0,0,5280
2014/4/17,10658,4128,6530,100,0,400,10.9,7.75,13.6,1090,0,5440
2014/4/18,10636,4128,6508,100,0,400,10.8,7.78,13.57,1080,0,5428
2014/4/21,10453,4128,6325,100,0,400,10.69,7.66,13.14,1069,0,5256
2014/4/22,10478,4128,6350,100,0,400,11.06,7.74,13.11,1106,0,5244
2014/4/23,10554,4128,6426,100,0,400,11.3,7.8,13.24,1130,0,5296
2014/4/24,10583,9460,1123,100,0,0,11.23,7.99,13.33,1123,0,0
2014/4/25,10585,9460,1125,100,0,0,11.25,7.94,13.39,1125,0,0
2014/4/28,10563,9460,1103,100,0,0,11.03,7.97,12.48,1103,0,0
2014/4/29,10576,9460,1116,100,0,0,11.16,7.94,12.94,1116,0,0
2014/4/30,10574,9460,1114,100,0,0,11.14,7.9,13.46,1114,0,0
2014/5/5,10559,9460,1099,100,0,0,10.99,7.74,13.78,1099,0,0
2014/5/6,10555,9460,1095,100,0,0,10.95,7.79,13.94,1095,0,0
2014/5/7,10545,9460,1085,100,0,0,10.85,7.87,13.04,1085,0,0
2014/5/8,10553,9460,1093,100,0,0,10.93,7.35,12.91,1093,0,0
2014/5/9,10565,9460,1105,100,0,0,11.05,7.26,12.52,1105,0,0
2014/5/12,10594,9460,1134,100,0,0,11.34,7.32,13.03,1134,0,0
2014/5/13,10583,9460,1123,100,0,0,11.23,7.53,12.9,1123,0,0
2014/5/14,10591,9460,1131,100,0,0,11.31,7.63,12.73,1131,0,0
2014/5/15,10579,10579,0,0,0,0,11.19,7.58,12.57,0,0,0
2014/5/16,10579,10579,0,0,0,0,11.27,7.7,12.65,0,0,0
2014/5/19,10579,10579,0,0,0,0,11.27,7.69,12.67,0,0,0
2014/5/20,10579,10579,0,0,0,0,11.24,7.74,12.75,0,0,0
2014/5/21,10579,10579,0,0,0,0,11.33,7.74,12.83,0,0,0
2014/5/22,10579,10579,0,0,0,0,11.39,7.89,12.87,0,0,0
2014/5/23,10579,10579,0,0,0,0,11.58,8.15,12.99,0,0,0
2014/5/26,10579,10579,0,0,0,0,11.58,8.11,13.12,0,0,0
2014/5/27,10579,10579,0,0,0,0,11.58,8.17,12.92,0,0,0
2014/5/28,10579,10579,0,0,0,0,11.6,8.45,13.05,0,0,0
2014/5/29,10579,10579,0,0,0,0,11.5,8.54,12.92,0,0,0
2014/5/30,10579,10579,0,0,0,0,11.5,8.55,13.15,0,0,0
2014/6/3,10579,10579,0,0,0,0,11.51,8.4,13.17,0,0,0
2014/6/4,10579,8119,2460,0,300,0,11.33,8.2,13.05,0,2460,0
2014/6/5,10612,8119,2493,0,300,0,11.43,8.31,13.27,0,2493,0
2014/6/6,10594,8119,2475,0,300,0,11.38,8.25,13.5,0,2475,0
2014/6/9,10609,8119,2490,0,300,0,11.48,8.3,13.51,0,2490,0
2014/6/10,10636,8119,2517,0,300,0,11.75,8.39,13.52,0,2517,0
2014/6/11,10639,8119,2520,0,300,0,11.78,8.4,13.41,0,2520,0
2014/6/12,10642,6437,4205,0,500,0,9.71,8.41,13.28,0,4205,0
2014/6/13,10652,6437,4215,0,500,0,10.12,8.43,13.37,0,4215,0
2014/6/16,10567,6437,4130,0,500,0,10.13,8.26,13.59,0,4130,0
2014/6/17,10497,6437,4060,0,500,0,10.04,8.12,13.4,0,4060,0
2014/6/18,10487,6437,4050,0,500,0,9.86,8.1,13.2,0,4050,0
2014/6/19,10432,6437,3995,0,500,0,9.78,7.99,12.94,0,3995,0
2014/6/20,10502,6437,4065,0,500,0,9.85,8.13,13.19,0,4065,0
2014/6/23,10512,6437,4075,0,500,0,9.77,8.15,13.3,0,4075,0
2014/6/24,10482,6437,4045,0,500,0,9.8,8.09,13.39,0,4045,0
2014/6/25,10502,6437,4065,0,500,0,9.77,8.13,13.4,0,4065,0
2014/6/26,10567,9741,826,0,100,0,9.82,8.26,13.58,0,826,0
2014/6/27,10573,9741,832,0,100,0,9.82,8.32,13.88,0,832,0
2014/6/30,10568,9741,827,0,100,0,9.91,8.27,13.88,0,827,0
2014/7/1,10551,9741,810,0,100,0,9.86,8.1,13.9,0,810,0
2014/7/2,10553,9741,812,0,100,0,9.89,8.12,13.95,0,812,0
2014/7/3,10556,9741,815,0,100,0,9.96,8.15,14.11,0,815,0
2014/7/4,10588,9741,847,0,100,0,9.91,8.47,14.19,0,847,0
2014/7/7,10617,10617,0,0,0,0,9.86,8.76,14.2,0,0,0
2014/7/8,10617,10617,0,0,0,0,9.93,8.68,14.33,0,0,0
2014/7/9,10617,10617,0,0,0,0,9.65,8.56,13.87,0,0,0
2014/7/10,10617,10617,0,0,0,0,9.67,8.69,13.89,0,0,0
2014/7/11,10617,10617,0,0,0,0,9.67,8.81,14.21,0,0,0
